Filename: 121_02.fcs
Event #	FSC-A	SSC-A	FITC-A
1	77545.0625	81078.5625	9.699826640987993
2	65351.98828125	93596.2890625	-9.738910178763456
3	72461.171875	98723.65625	14.546346361945359
4	63233.8671875	99010.7734375	-28.20778346347706
5	34824.390625	128625.5390625	4.8286099397049504
6	42456.2890625	119442.6484375	10.673373405830745
7	55019.7109375	111212.28125	17.47753302805875
8	36754.81640625	122405.96875	-16.53663180583343
9	45871.1171875	187050.953125	17.46545406979944
10	86329.3671875	84173.8046875	15.533996152968719
11	83162.78125	90573.796875	-4.875233600518706
12	38886.05859375	151408.671875	23.295215256794155
13	79989.1328125	154452.5	26.21572157533264
14	66826.296875	68632.625	19.418054667831026
15	47933.73828125	108353.71875	-18.478341748331992
16	115557.234375	134299.015625	3.8569175812296765
17	67088.6640625	143877.671875	6.7805592328565645
18	53990.41796875	123584.5	-9.727935797802834
19	99366.0625	163700.390625	-55.41645805284185
20	60460.83203125	172856.125	6.7502463197183635
21	49069.99609375	140339.140625	7.760030967319633
22	100213.7109375	154833.703125	4.8255221784953894
23	90805.78125	77906.6953125	20.393910695542612
24	97563.7890625	152383.515625	-13.636730104513436
25	71786.0703125	80163.8671875	38.864538375630666
26	59165.1328125	132287.25	19.395607043905805
27	68068.515625	97275.4609375	-13.622792530533406
28	55364.82421875	149590.90625	15.529380767602156
29	52304.1953125	109110.3125	11.645298089947003
30	82819.6796875	182944.015625	10.658030433437927
31	74645.890625	94206.4140625	-25.283076562922773
32	122584.6796875	163806.109375	7.735168782280131
33	56650.4296875	69575.453125	-8.757890304160677
34	127465.7421875	95620.65625	-8.765857012017266
35	65875.71875	63323.8671875	-5.841041453464572
36	63156.1640625	169924.8125	13.576939407317516
37	71512.6015625	103410.6484375	-19.45984603662969
38	76262.484375	72502.8828125	-25.287328279450637
39	54458.64453125	91630.1171875	-2.609202769196465
40	96387.171875	128740.96875	34.92379285630989
41	79835.7421875	121623.1796875	-4.896631055334204
42	90212.421875	127831.1171875	13.57584551748599
43	43333.20703125	155147.984375	34.96852197634779
44	50635.125	119800.5703125	23.31303509816547
45	67542.765625	166574.46875	37.88253626658227
46	80031.515625	129985.46875	20.39296971130688
47	81868.09375	134318.40625	15.53342305335875
48	41410.8515625	125186.9296875	14.55863555574966
49	37969.78515625	139019.953125	6.636243006398407
50	59025.875	92202.4140625	3.879463184629421
51	89997.484375	137096.46875	15.533576680131075
