Filename: 119_06.fcs
Event #	FSC-A	SSC-A	FITC-A
1	75925.4453125	135355.328125	-0.9946570271352592
2	96894.75	75297.421875	-3.9069082464237237
3	71496.4609375	157703.90625	10.667613782899922
4	104981.7578125	181859.5625	-2.947312488341727
5	77479.4765625	92551.609375	-0.016121344431342523
6	84192.0703125	92482.7421875	10.670298273992701
7	111479.421875	159577.921875	-2.94714558135397
8	43645.01953125	123975.40625	3.865923650426808
9	98227.7890625	178295.828125	-21.403842087878854
10	67133.0703125	85143.796875	-44.724471938000974
11	86601.828125	96209.4453125	-18.488564359333967
12	97382.1484375	93632.1796875	-24.320298375212445
13	96512.296875	132950.734375	-4.882324680918855
14	89771.4453125	127240.3984375	-9.73514919502204
15	103110.8671875	86216.6015625	-20.435212429666358
16	79454.3046875	129840.9375	-25.30606849263642
17	89570.6328125	175628.359375	-21.404326881745803
18	91969.28125	198784.921875	-39.886059910113985
19	83663.296875	76417.765625	-8.759055860934213
20	94130.796875	144368.484375	30.10803923311712
21	46928.6640625	72434.984375	7.7681344024536445
22	91458.671875	89216.78125	-3.908442794090772
23	88518.125	117414.3984375	-9.746066995014463
24	65355.015625	78636.1328125	4.8512958075105335
25	88132.6484375	125661.25	16.496363804450638
26	103557.90625	94432.421875	21.355052329751093
27	115545.125	103146.8125	-7.793835010625743
28	91341.6171875	115376.4453125	-7.8134472478273675
29	96971.4453125	82834.25	-1.9554297271433332
30	91304.28125	174672.90625	-13.641916615724401
31	105890.96875	160638.125	-7.795552869251699
32	117955.890625	112942.7421875	-35.9910584987471
33	102929.2265625	71123.5546875	24.279130099788173
34	111691.3359375	103706.4921875	-38.893592344053076
35	81073.921875	82996.234375	-12.647090446558307
36	102946.3828125	204328.421875	7.699546623660712
37	122176.9921875	104827.8046875	-11.741180344248987
38	79982.0625	90083.953125	-2.9351813286671553
39	98486.1171875	84702.4453125	-23.344697488548245
40	96775.6796875	122434.09375	-6.82480976245032
41	77502.6796875	81091.171875	-36.95007156678552
42	53482.8359375	128122.1171875	-7.677856355909374
43	98687.9375	101690.859375	2.899591218503183
44	124849.1171875	163541.3125	3.854720516117619
45	110875.96875	153150.765625	21.322743277569927
46	70296.625	71806.4296875	-14.613764511631675
47	86432.296875	170695.953125	17.46039605285216
48	106140.21875	95802.046875	9.69166708355776
49	99603.203125	143206.4375	-1.0002511289357048
50	92685.75	103323.3515625	-12.652588934467637
51	108505.5703125	197845.984375	-2.000492853659985
52	84261.703125	126646.765625	-3.905201139749707
53	94858.3671875	105025.6796875	-17.51257126243502
54	92492.0	161179.375	11.629203020744274
55	109711.4609375	153100.328125	31.05870607357006
56	98321.6328125	122710.5390625	-12.658904911436355
