Filename: 121_04.fcs
Event #	FSC-A	SSC-A	FITC-A
1	85661.3359375	95955.3046875	-20.429278338019714
2	71390.5	76692.2734375	15.538627904998634
3	64559.8359375	153520.34375	5.810480592870734
4	114616.7421875	166793.6875	4.833024015586803
5	84544.25	153752.171875	-2.9390608638293667
6	62982.59765625	136322.40625	11.651304095925754
7	61327.65625	102436.78125	10.673041636988845
8	124111.4609375	113578.0859375	19.406289280699855
9	90444.515625	155980.234375	-3.9370519210629267
10	95917.9296875	135853.90625	11.633866609850372
11	91501.0546875	114168.8125	13.588696561617645
12	104308.6796875	139071.359375	-38.89215321328779
13	61478.015625	93430.421875	18.445191908517454
14	88277.9609375	167113.78125	-5.858841372416776
15	69962.609375	108165.5390625	13.585000865096076
16	62398.32421875	91737.7890625	-5.841690394756363
17	50477.703125	92938.6328125	-30.140183205570054
18	67250.125	79992.1796875	24.281287221084288
19	83089.1171875	119281.625	6.7902701629033935
20	61637.453125	168082.796875	-1.9598078065406541
21	117758.1015625	114417.125	-46.67267703271635
22	67501.390625	112767.171875	-2.93201143555185
23	106585.234375	151380.546875	-0.04673217259109614
24	114445.1953125	176943.65625	-25.304668313542322
25	92359.8125	84839.21875	16.478219146347847
26	49692.6171875	112741.953125	17.46738065232777
27	48361.6015625	105299.21875	-24.316958685844934
28	77370.4921875	93912.5078125	12.597668156637308
29	84706.71875	81351.1328125	-10.703802316194974
30	89708.875	85206.84375	-13.647728763974746
31	64811.10546875	132438.578125	-18.485306147020847
32	62857.46875	67715.0078125	0.9539806153129851
33	85561.4375	100190.28125	12.61517849139346
34	51726.984375	163628.609375	-13.639057232962724
35	90594.875	173569.0625	39.81831321033805
36	73551.0078125	113708.0625	0.9463998170057059
37	87112.4375	88910.265625	-0.984658154603532
38	61953.3046875	75381.8125	32.051236022763476
39	50472.66015625	123938.546875	7.750113955651593
40	109855.7578125	119593.9609375	17.469760695569338
41	89114.515625	202437.90625	33.97600838307134
42	133356.921875	172116.984375	32.03533691830333
43	52957.08984375	63955.328125	0.961824335516646
44	58070.25	111101.703125	15.536247859489738
45	89294.1328125	95352.9375	-5.841547073120035
46	121735.0078125	134033.234375	-0.026529280575939285
47	67696.1484375	138121.75	7.747140231133863
48	51677.53515625	163874.015625	18.441747661323895
49	59076.33203125	168288.4375	-22.369937242580246
50	57685.77734375	58018.01953125	3.873891970864293
51	111218.0625	159183.140625	-6.834508989105101
52	101958.46875	134561.875	-12.647704129450686
53	57814.9453125	185817.125	-1.9630055054799416
54	81444.265625	116248.46875	-4.88366928269398
55	82365.5859375	98235.75	-19.45419147881422
56	34110.94921875	101315.46875	-23.218504733416406
57	117102.1796875	91881.34375	22.320482894544483
58	57828.0625	153489.296875	23.308474167048175
59	93393.140625	86297.109375	16.499249984482216
60	93026.8359375	160092.015625	-9.750448554125
61	92154.9609375	86428.0625	6.78150959072032
62	78172.734375	60975.51953125	-2.929154853478996
63	102514.484375	106160.5703125	19.410809388182617
64	78847.828125	166085.59375	0.8969016751982454
65	51701.75390625	188904.609375	-6.820476226200145
66	65785.90625	170716.328125	-25.304008068331864
67	68434.8203125	94422.71875	1.93301034598085
68	79880.1484375	77883.4140625	-18.480635756201536
69	66290.4609375	169650.296875	-28.222626427127945
70	40166.6171875	117873.203125	-0.01324020142886662
71	60051.1328125	132888.640625	21.357799957320662
72	60574.859375	72989.8203125	-5.847028952980153
73	86428.2578125	97158.09375	-13.61952840506183
74	93565.6953125	141286.828125	17.464499690937284
75	83953.921875	103515.40625	3.860096982585469
76	53410.1796875	143442.140625	-23.352629627833267
77	78082.921875	93327.6015625	1.9228772449407856
78	75291.71875	111666.234375	-3.9020543148241105
79	91056.0390625	102080.7890625	0.9579316250839696
80	81801.4921875	101550.2109375	16.50615094722966
81	80512.859375	117980.8671875	41.7588530970337
82	90384.984375	78331.5546875	15.532951829341478
83	37434.95703125	109956.140625	19.3461143133124
84	65788.9296875	143050.265625	-24.323032592119965
85	79226.2421875	90375.921875	-25.280209484399027
86	107204.828125	108389.609375	11.638118530950882
87	53872.3515625	158315.96875	-21.41776881242684
88	76361.3828125	102618.1640625	13.579871511472927
89	96074.34375	133879.015625	3.8606404001229637
90	73500.5546875	103141.9609375	13.589452768091547
91	123101.34375	109320.796875	3.8642971539646065
92	78817.5546875	75129.6171875	33.9994891067436
93	65442.80859375	191878.59375	31.067670182232124
94	69218.8984375	97720.6875	17.478537190579218
95	75848.75	105795.8515625	13.586761228603013
96	66420.6328125	103872.3671875	-28.200256024290017
97	110265.4609375	106868.6640625	-38.91570269379489
98	62859.484375	156350.765625	7.745610685225902
99	85648.21875	111092.0	-5.846674698047012
