Filename: 121_03.fcs
Event #	FSC-A	SSC-A	FITC-A
1	81168.78125	125911.5078125	-4.884700528756245
2	71023.1875	108081.1484375	-21.390272204953984
3	104359.140625	157185.9375	20.366749263141813
4	108502.546875	109805.796875	42.742659184481276
5	89850.15625	100076.7890625	27.193424824878477
6	68555.9140625	129557.703125	-25.295810303365418
7	54727.06640625	85892.625	-21.393197413013763
8	123125.5625	107254.71875	-18.50192491924966
9	101087.6015625	128448.03125	-17.52854778198126
10	114039.53125	96692.5	-34.044425629322504
11	123411.140625	118244.7109375	-6.834721456778151
12	86865.203125	80798.234375	-14.598333157637532
13	74792.2109375	76000.6640625	12.620050995474521
14	123465.6328125	147795.453125	-18.522278991737174
15	99286.34375	136792.859375	19.41492100140327
16	128195.328125	130493.7421875	-4.891284783014837
17	70731.5546875	196564.625	0.9416066253943682
18	93862.375	123159.6484375	1.9095316535619518
19	90975.3125	188471.015625	20.37693339758679
20	91987.4453125	129047.484375	15.523147059843767
21	99784.84375	71846.203125	-11.688280364685845
22	90950.0859375	110968.8125	12.610578472399464
23	93437.5390625	79254.015625	1.9316518134267109
24	57197.37109375	169002.34375	-14.599930739793178
25	58354.8203125	117608.390625	3.862188529482203
26	102606.3125	170535.90625	38.84133571153803
27	62889.7578125	153299.1875	24.267320223250678
28	61238.85546875	123319.6953125	0.08145699145486843
29	81934.6953125	147256.140625	13.542758996621966
30	102125.9765625	105738.625	6.783675893241302
31	66750.6171875	115359.953125	22.33463043072051
32	64557.81640625	201380.625	9.678366522945792
33	64687.9921875	70118.6484375	4.850560469728914
34	109091.8671875	184792.828125	-38.90947307718022
35	100318.6640625	104717.2265625	-37.938028859776445
36	108443.0078125	141473.0625	1.9170753584745484
37	86644.2109375	188934.671875	-44.74692650287069
38	65754.625	144850.5625	-7.7925907502082215
39	134040.09375	119191.4140625	21.351613340319936
40	107264.3671875	114165.8984375	2.847741567855166
41	111453.1796875	176177.375	-5.880530017664731
42	97195.46875	112053.2578125	4.83091018493055
43	105918.2109375	89537.8515625	27.186269327930535
44	77612.671875	163906.015625	-6.826937951816631
45	78683.34375	129157.09375	22.335722063115213
46	68505.453125	139519.5	-6.832685186648523
47	112439.0859375	95054.1796875	13.580461486138933
48	111753.8984375	78816.546875	8.68277847645025
49	124215.3984375	117654.953125	14.549924846867958
50	74078.7734375	110924.1953125	-25.287323836275192
51	74898.171875	128726.421875	-6.845300972864834
52	76209.0	92801.8671875	2.897170745475193
53	70502.484375	200062.40625	-4.900029103011975
54	78940.6640625	201156.546875	16.4938992942826
55	105153.3046875	156002.546875	-1.0009927392466862
56	127784.6171875	102653.0859375	21.36221018670148
57	56690.796875	158295.59375	16.24875300228913
58	100117.8515625	157894.03125	28.153202448865354
59	113061.703125	95203.5625	-9.740989845832145
60	85812.703125	166488.140625	-10.734329003637242
61	84576.546875	207313.078125	-7.813655641542976
62	105695.203125	119741.3984375	-0.02549955566406151
63	128749.328125	101450.296875	11.634748030295242
64	81378.671875	113514.0625	4.83481594009022
65	77824.5859375	111188.03125	20.382704443536813
66	112216.0703125	111830.1640625	-14.62216390149761
67	101829.296875	100346.453125	-40.84766304775832
68	56278.0703125	198400.8125	-30.416132014143454
69	78855.8984375	116947.828125	-2.938541973602152
70	103864.671875	94186.0390625	-39.875388709034894
71	66100.75	176267.578125	-13.637575013430496
72	101535.6484375	137210.921875	-15.576546069092812
73	61149.04296875	143963.03125	-14.599710215903032
74	80109.2109375	128903.9296875	52.456475537214445
75	67400.484375	83376.46875	33.03164633931806
76	121941.875	80571.2578125	20.389944261914888
77	61152.0703125	128156.0703125	-1.9641624484705376
78	86296.0703125	201634.765625	20.37543128242764
79	113216.1015625	112938.859375	27.184450258017268
80	99852.453125	78704.03125	10.662269248601719
81	85973.15625	176584.765625	17.452490023010284
82	90892.5625	105803.6171875	-16.53734261541352
83	102872.71875	95359.7265625	12.609892773434925
84	84292.984375	87509.6015625	7.760252048487945
85	81062.8203125	177170.640625	24.27164568556523
86	127467.7578125	163456.921875	-35.018824096802135
87	91273.0	166749.0625	-35.03684624823428
88	58024.83984375	97538.328125	-11.68462260768473
89	82340.359375	95323.84375	11.636278549876796
90	105189.6328125	181587.0	24.265229599698174
91	69794.09375	114366.6875	-13.63339633157905
92	66404.4921875	113580.9921875	-7.791507331719112
93	106937.4140625	88982.046875	-43.75093516176855
94	94710.03125	209382.078125	-44.7479237823593
95	80950.8125	80390.84375	4.841363666652507
96	57009.67578125	96759.4296875	8.731734030062764
97	88360.7109375	69590.96875	-19.45161421193072
98	90923.84375	83708.2109375	24.28236717123054
99	75673.1640625	87130.3359375	-23.33861534377734
100	82875.1875	88525.1796875	-10.705722215225615
101	108255.3125	136277.796875	-16.545749454957917
102	103489.2890625	129497.5625	-4.892670966284364
103	87816.796875	84637.4609375	28.168130915274897
104	70531.75	123374.984375	13.579965076484273
105	66927.2109375	111647.8046875	-20.42888072254659
106	97593.0546875	116168.9296875	16.50117079207612
107	87900.5546875	142935.8125	10.64540805126355
108	70529.734375	71074.0859375	26.22047294403573
109	71397.5703125	92798.953125	-0.01637136684825493
110	54020.69140625	139171.28125	13.541283054250083
111	87155.828125	73348.7109375	3.8658562856271605
112	93110.5859375	112482.96875	6.778633381070669
113	97280.234375	125057.921875	10.659306546267501
114	75627.7578125	126872.7734375	-8.77222204992116
115	89792.6328125	206292.65625	-13.638471184649191
116	100821.1953125	108660.234375	10.672078890259964
117	85530.15625	127202.5625	-19.474659403576833
118	71500.4921875	96137.6640625	4.836965784945215
119	87406.0859375	101261.1484375	15.532041233112656
120	78162.640625	114526.734375	-12.65379221119904
121	89763.3671875	212496.703125	15.468153149453833
122	117205.109375	158210.234375	15.525238172290742
123	89719.9765625	132539.453125	-38.89920156612824
124	130317.484375	160343.25	-22.371848200368394
125	79165.6953125	179967.125	-9.74782525418016
126	78742.875	127477.0703125	23.312796025188234
127	73811.359375	144711.859375	0.9238513950528741
128	73581.28125	155205.21875	-21.42144699678298
129	37254.328125	85778.1640625	27.52489102263097
130	74709.46875	145541.203125	10.660130684727777
131	75902.234375	89953.9765625	-9.739978620927094
132	91763.4296875	161215.265625	22.32181225642332
133	104492.34375	145094.03125	-6.837395766120185
134	80429.1015625	68935.2578125	-7.79144214320282
135	67440.84375	156801.8125	0.9293533216020642
136	89775.4765625	193305.453125	13.560490677032849
137	84291.9765625	111455.75	-20.42837073424984
138	84625.9921875	126445.9765625	18.428884859894215
139	70776.9609375	112893.2734375	15.525787561282689
140	68671.9609375	78256.8671875	-28.19551892675517
141	100156.1953125	68268.875	32.05528375276635
142	99349.9140625	139977.34375	4.820712247571079
143	109977.8671875	120762.8046875	6.753655620639113
144	98912.96875	137838.515625	12.61263531033353
145	67041.234375	123590.3203125	3.8558458553356623
146	92656.4921875	100445.390625	27.19477394119623
147	75555.1015625	97092.1328125	17.471983590203585
148	91544.453125	117988.6328125	-1.9619771653208196
149	75806.3671875	123618.453125	3.8602344925346874
150	80605.6953125	148699.484375	16.489563365935123
151	78841.7734375	131802.265625	4.803721466732799
152	82336.3203125	170324.453125	-24.33408539527214
153	103183.5234375	176051.265625	10.66309415513914
154	60045.078125	155826.0	-9.739879662925981
155	90767.4375	110797.125	-28.208107742608156
156	103544.7890625	100379.4296875	-32.13193241823057
157	82540.15625	119140.9765625	11.647427993355585
158	91265.9375	113261.8671875	60.992748952697625
159	67537.71875	168905.359375	-2.950800725197862
160	114474.4609375	110465.3828125	30.104138879512085
161	97940.1875	104890.8515625	6.779555137848492
162	88828.9375	147843.953125	-6.86934612432883
163	90263.890625	140359.515625	-16.54361583191569
164	94415.3671875	82345.375	18.438778924689405
165	63507.3359375	83857.5859375	-0.009345255753013256
166	84643.1484375	141690.34375	10.662633785071108
167	70575.140625	103102.1875	18.444788155641636
168	84661.3125	103809.3125	-13.635186413128
169	65664.8125	142163.6875	4.8377938458071235
170	71207.8515625	107637.8671875	26.22127328536765
171	81115.296875	147354.109375	48.55671045054768
172	90086.2890625	99681.0390625	46.62906435552784
173	78590.5	175971.734375	17.45179796961914
174	116234.34375	83609.2734375	11.644209748271237
175	83979.1484375	104110.0078125	0.9413485574642838
176	65420.60546875	137463.125	-0.0364945034371046
177	81928.640625	135140.0	-0.9910300056267545
178	97338.7578125	111274.359375	-2.935924362684807
179	120561.40625	164667.46875	-6.834182214176797
180	97724.2421875	142976.546875	23.29480129961714
181	92540.4375	121402.0234375	15.528768237643764
182	70766.875	187348.75	33.01846964364557
183	95486.03125	158685.53125	-20.442363528423996
184	96300.3828125	177639.140625	-24.3326276376978
185	101216.7734375	97327.84375	-38.89596865881557
186	113858.8984375	90357.4921875	0.9530702230252709
187	57234.70703125	63250.1484375	8.73847774932138
188	74054.5546875	82285.234375	24.281651527584444
189	76990.0546875	68521.0703125	-6.820698424839773
190	89241.6640625	102920.8046875	28.1601552674615
191	90706.890625	94134.6328125	9.707615561525637
192	72796.1953125	120592.0859375	19.416113303153825
193	74703.4140625	72670.6875	-0.9863330755394518
194	78484.546875	121579.53125	-17.516583659668907
195	85838.9375	146411.28125	7.737148537897833
196	96580.9140625	200024.578125	6.763604436038119
197	82082.0234375	81785.6875	33.030959743399514
198	104658.84375	103099.28125	-2.9474696759310937
199	47829.80078125	170522.328125	12.613344157683683
200	83727.8828125	99346.390625	0.9556034359989043
201	63962.44140625	89157.609375	8.724882225170802
202	74258.390625	94986.28125	-21.398282013729183
203	69905.09375	66276.515625	17.47431543293007
204	68925.25	84692.75	19.418277925274833
205	92355.7734375	93395.5	5.74340474679261
206	67667.8984375	126450.8203125	0.9544390717095229
207	80709.6328125	121971.40625	39.82523698531368
208	114619.7734375	118531.828125	-17.52484145735724
209	86964.1015625	79738.0390625	-5.853435331644071
210	106165.4453125	160004.71875	29.11075432795595
211	97933.125	173131.59375	-10.726333829515518
212	97053.1796875	157240.25	-24.334937483466565
213	62020.9140625	106427.3203125	10.667698431892548
214	61491.1328125	111588.6328125	-30.14732624490051
215	60458.8125	108412.890625	-18.48603432087477
216	45986.15625	69539.5625	-44.719395659399645
217	66494.296875	130488.890625	-32.09579863725703
218	135409.453125	143650.6875	-26.268916953910317
219	116172.7890625	184818.046875	-16.551886115615464
220	78818.5625	73219.703125	-1.9665702762317259
221	80580.46875	110028.890625	-7.809797482551764
222	69833.4453125	129386.015625	-35.99070801202455
223	76633.8359375	124801.84375	21.357218710269645
224	73276.53125	136169.15625	-18.490022876749343
225	77473.421875	108065.6328125	-13.618747579731853
226	102787.953125	85413.453125	-0.019400953814374403
227	119087.1015625	170476.734375	11.602052065092963
228	101227.8671875	184311.703125	-30.17895496372213
229	93500.1015625	124847.4296875	-22.39185078480069
230	69040.2890625	144618.734375	-15.582802191938091
231	133104.65625	121790.0234375	-23.352036646013595
232	93501.1171875	135904.34375	25.23635873609532
233	53293.12109375	75085.96875	-25.28003811933017
234	72662.9921875	94743.7890625	0.9512041347082408
235	83552.296875	186905.453125	-10.712330866718332
236	96701.0	177732.265625	-13.645887250893852
237	87756.25	120836.5234375	6.774911511550098
238	135345.875	154058.6875	-8.776611939931067
239	71308.765625	119003.2421875	0.947836909601222
240	70012.0546875	110251.015625	-3.9030362077334293
241	82041.65625	146423.890625	-9.747948678839332
242	82058.8125	145787.578125	-0.031451582891773265
243	56582.8203125	109039.5	10.673720231155503
244	71273.4453125	147013.640625	-2.9421305376251192
245	70774.9453125	134155.453125	23.304257991868543
246	89345.6015625	117088.4765625	-0.02235923092741837
247	50796.58203125	82045.6484375	1.4423026415663793
248	53393.0234375	120418.453125	-16.54555349881945
249	64588.08984375	69795.640625	35.934750855156466
250	101855.5390625	120147.828125	6.776564116626421
251	65844.4296875	140196.546875	13.57983243424567
252	69951.5078125	125205.359375	30.096295559104007
253	82622.90625	135329.140625	-0.029667811029235443
254	88497.9453125	62020.19921875	9.700741173958077
255	75582.34375	118901.390625	15.529709458869895
256	58796.80859375	143213.21875	-10.714099839286794
257	91791.6796875	79815.640625	-7.788868493161942
258	68649.7578125	136210.859375	-22.38139396948203
259	64493.234375	100063.2109375	-18.482253752086123
260	85099.265625	100233.9296875	-17.520297576740408
261	81422.0625	78998.90625	20.391634816442135
262	92121.6640625	142475.0625	-26.306286858056296
263	75748.8515625	133163.15625	3.8607543031680063
264	75229.15625	116859.5625	-7.803810097144661
265	82478.6015625	87572.6484375	4.839124524157732
266	83376.7109375	113742.015625	7.751125893912571
267	94894.6953125	93570.1015625	-12.659595767585051
268	68780.9453125	204592.265625	-27.79445678503538
269	77150.5	107289.640625	13.585315146400733
270	82134.5	93910.5625	-5.852660853246786
271	101974.609375	90320.6328125	37.87584205742693
272	105078.6328125	183204.953125	-30.182642958435725
273	68189.6015625	83552.0390625	-1.957014666598218
274	106217.921875	110998.8828125	5.806312816933916
275	105114.9609375	80583.8671875	-14.619013758839161
276	91206.3984375	69659.84375	2.9065024643078368
277	103503.4140625	176422.78125	-19.484044740164048
278	108191.7421875	133885.796875	-16.553624168558883
279	116020.4140625	154761.921875	1.884405888475014
280	133138.953125	160694.390625	2.89024203926919
281	84280.875	57236.20703125	-21.396386442868973
282	65954.4296875	130471.4296875	-15.573937542211349
283	67469.1015625	153628.984375	12.612756270274334
284	84063.9140625	117583.171875	-6.841553470697904
285	69032.2109375	154684.328125	-3.914138004857306
286	78190.8984375	159357.734375	-0.9944680857570014
287	62571.890625	121506.78125	-4.882425178494235
288	109100.9453125	139239.171875	-6.8512606328056735
289	60150.0234375	87006.171875	-7.786096711052799
290	73804.296875	77032.734375	-11.67884097872177
291	111117.1484375	147991.390625	43.69733178074209
292	108214.9453125	69642.3828125	5.809738831299316
293	69192.6640625	96322.9296875	7.761157525974198
294	73390.5625	92758.21875	25.251904812272347
295	93635.328125	126348.0078125	7.750119739857743
296	56191.28515625	114483.0859375	6.781765918543407
297	119992.2734375	148101.96875	-9.766121688109862
298	67044.265625	131304.65625	4.833257659281635
299	108891.0546875	104065.390625	-21.429077194616788
300	132534.5	102700.6171875	-12.665757457236376
301	132347.8125	157463.34375	-11.72159016431551
302	56617.1328125	121930.671875	7.75989816163768
303	84742.0390625	142223.828125	-4.890248274630722
304	94019.796875	113135.765625	3.871821157541206
305	135737.421875	161985.4375	13.577464318717904
306	108804.265625	75601.03125	3.868676873254083
307	101494.2734375	139103.375	-4.88290101786835
308	102125.9765625	158228.671875	11.616309144123745
309	54047.9375	193507.21875	-7.806348071144398
310	91405.1953125	186105.21875	-1.0515156259245668
311	95453.7421875	98157.1796875	8.718804981644109
312	89042.8671875	90288.625	-4.885198601595262
