Filename: 121_01.fcs
Event #	FSC-A	SSC-A	FITC-A
1	86550.3671875	118126.3671875	290.8005666261722
2	70652.84375	86717.1171875	5.816629815024072
3	76217.078125	163492.8125	16.482629504179222
4	44853.93359375	161488.8125	-3.9288600134988236
5	87565.53125	175238.421875	-7.803186043301891
6	56932.98046875	101579.3046875	58.30236197155487
7	79403.84375	76525.4296875	-9.724549963539262
8	82579.515625	170715.359375	24.2702392569685
9	61550.671875	126327.6328125	30.114261501084947
10	79456.3203125	81069.8359375	44.64101815362071
11	91446.5625	77453.7109375	632.1033619307785
12	83508.90625	78711.7890625	6.789753239245454
13	54868.34375	114102.8515625	196.81273804089025
14	81066.859375	93236.421875	247.21718696377744
15	49632.0703125	125987.171875	15.531127104593752
16	77497.640625	96684.734375	6.78176130400666
17	46978.109375	146850.6875	-1.965849560562349
18	72361.265625	169306.921875	7.746106538300759
19	45634.984375	193780.75	22.323433844880366
20	55523.25390625	149802.359375	-20.421639441549168
21	64619.375	111900.0	655.3756592108605
22	63223.7734375	114748.859375	734.7778374027761
23	63322.66796875	108714.5546875	91.0941320356732
24	77540.0234375	74936.5859375	-10.726304807977934
25	87142.7109375	132772.25	149.27548757776393
26	115787.3125	107072.359375	10.667760814842344
27	93327.546875	117809.1796875	-1.957340989796187
28	53165.97265625	93632.1796875	-0.014176379687643615
29	97913.953125	137428.203125	766.9305730648905
30	51240.59375	129794.3828125	14.560219460820175
31	89625.125	71004.25	649.6193426507278
32	51625.0625	74449.65625	-4.862139674282975
33	116044.6328125	99205.7421875	20.3828080192935
34	87359.671875	101877.09375	9.695167262633383
35	78726.734375	118685.0859375	35.792906017104684
36	48940.83203125	124031.671875	6.785164472784022
37	67659.8203125	79846.6796875	353.8505689819674
38	94799.8359375	129496.59375	33.97613869167821
39	67431.765625	83976.8984375	16.44053572775679
40	95566.765625	112223.9765625	-9.734370739891892
41	59225.6796875	107299.3359375	-4.876964043012144
42	80827.703125	63721.5625	14.565314533836034
43	82805.5546875	161253.09375	92.96676112023121
44	61453.796875	141651.546875	98.9154349953597
45	102566.9609375	123992.8671875	373.23205163169274
46	59742.34375	96466.4921875	-6.824017523998936
47	129657.53125	135069.1875	10.660843038453876
48	108463.1875	134741.328125	-6.842505510655318
49	57926.95703125	95108.5	180.25118428835697
50	124456.578125	153046.984375	292.7090446956607
51	57999.61328125	135581.34375	491.4836279787454
52	64695.05859375	113679.9375	7.759738683424892
53	76076.8125	115138.796875	-16.536351383957136
54	64106.74609375	128566.375	-4.875338681034391
55	82589.609375	129116.359375	12.600527130181
56	38816.4296875	105661.9921875	-2.107016531988496
57	102534.6640625	191330.546875	141.53064588292906
58	83745.0390625	110302.4296875	-3.9135508436099564
59	58893.68359375	82702.328125	-43.74932804685253
60	82660.2421875	121379.71875	-7.793954851906695
61	84597.734375	156920.15625	-1.9719200756931985
62	40216.06640625	168333.0625	253.0372604627594
