Filename: 119_04.fcs
Event #	FSC-A	SSC-A	FITC-A
1	58097.49609375	87489.2265625	11.641855072250651
2	83776.3203125	53820.87109375	-8.753156154344278
3	89117.5390625	105640.65625	-7.788695892305947
4	69644.7421875	54501.8046875	26.227046345938632
5	81960.9296875	67818.796875	-6.824656302087051
6	75761.96875	179712.984375	-5.880382254935595
7	56775.5625	106303.15625	-22.37026745296629
8	77399.75	79445.1015625	18.42966680093702
9	90387.0	92950.2734375	-7.794827102704884
10	74561.125	97288.0703125	15.529767445619465
11	69491.359375	105797.796875	28.159773571304996
12	61949.26953125	75812.4921875	-21.39304230738633
13	94840.203125	87054.671875	39.8153205820253
14	69609.421875	138809.46875	-23.343583560557104
15	66271.2890625	85104.0234375	16.50518026360629
16	79490.6328125	73065.4765625	11.651548102685618
17	102948.40625	95177.375	31.02460648447136
18	62001.7421875	142919.3125	-21.414765124586598
19	103761.7421875	109373.1796875	11.639848822152924
20	87003.453125	88571.7421875	5.803714329929598
21	61762.58203125	127298.59375	9.69487273107018
22	115687.40625	94955.2421875	2.8890826772793146
23	83752.1015625	104219.6171875	-13.634910355267118
24	74502.6015625	70421.28125	-18.480026704772328
25	77786.2421875	109504.125	-14.610029048711018
26	66916.109375	101961.484375	4.843169264589302
27	111252.3671875	140902.703125	-14.602300159258483
28	101910.03125	114511.21875	38.8319763156532
29	70990.8984375	145039.71875	10.66277114128298
30	111505.65625	118364.015625	-28.217522670028075
31	77638.9140625	62281.125	-10.712066716407547
32	67848.5234375	81368.59375	-6.810697404195752
33	84289.953125	191814.578125	-29.192344917433175
34	107294.640625	124664.1015625	33.0037085485476
35	57285.16015625	70690.9375	-36.94686631704418
36	93068.203125	149054.5	-25.31616323507502
37	91762.4140625	112625.5546875	-13.632146171502152
38	105964.6328125	113076.6015625	-21.425083171481848
39	109786.1328125	97979.671875	33.990002683846946
40	106994.9375	73150.8359375	52.45310755992833
41	95050.1015625	70969.328125	21.36405727092736
42	86465.6015625	61269.42578125	3.8690208504154486
43	62340.8046875	78621.578125	-16.535362068575843
44	80120.3125	114842.953125	5.803748104431696
45	69589.2421875	52307.6875	-6.81378515116126
46	76168.640625	189539.953125	-12.685866812942502
47	87036.7578125	78894.1484375	5.809525684483891
48	80401.859375	54000.3203125	-19.44834632099792
49	70260.296875	118947.953125	-6.823948403781796
